FECHA;FESTIVO;DIA DE LA SEMANA
2021-07-31;NO;Sabado
2021-08-01;SI;Domingo
2021-08-02;NO;Lunes
2021-08-03;NO;Martes
2021-08-04;NO;Miercoles
2021-08-05;NO;Jueves
2021-08-06;NO;Viernes
2021-08-07;NO;Sabado
2021-08-08;SI;Domingo
2021-08-09;NO;Lunes
2021-08-10;NO;Martes
2021-08-11;NO;Miercoles
2021-08-12;NO;Jueves
2021-08-13;NO;Viernes
2021-08-14;NO;Sabado
2021-08-15;SI;Domingo
2021-08-16;NO;Lunes
2021-08-17;NO;Martes
2021-08-18;NO;Miercoles
2021-08-19;NO;Jueves
2021-08-20;NO;Viernes
2021-08-21;NO;Sabado
2021-08-22;SI;Domingo
2021-08-23;NO;Lunes
2021-08-24;NO;Martes
2021-08-25;NO;Miercoles
2021-08-26;NO;Jueves
2021-08-27;NO;Viernes
2021-08-28;NO;Sabado
2021-08-29;SI;Domingo
2021-08-30;NO;Lunes
2021-08-31;NO;Martes
2021-09-01;NO;Miercoles
2021-09-02;NO;Jueves
2021-09-03;NO;Viernes
2021-09-04;NO;Sabado
2021-09-05;SI;Domingo
2021-09-06;NO;Lunes
2021-09-07;NO;Martes
2021-09-08;NO;Miercoles
2021-09-09;NO;Jueves
2021-09-10;NO;Viernes
2021-09-11;NO;Sabado
2021-09-12;SI;Domingo
2021-09-13;NO;Lunes
2021-09-14;NO;Martes
2021-09-15;NO;Miercoles
2021-09-16;NO;Jueves
2021-09-17;NO;Viernes
2021-09-18;NO;Sabado
2021-09-19;SI;Domingo
2021-09-20;NO;Lunes
2021-09-21;NO;Martes
2021-09-22;NO;Miercoles
2021-09-23;NO;Jueves
2021-09-24;NO;Viernes
2021-09-25;NO;Sabado
2021-09-26;SI;Domingo
2021-09-27;NO;Lunes
2021-09-28;NO;Martes
2021-09-29;NO;Miercoles
2021-09-30;NO;Jueves
2021-10-01;NO;Viernes
2021-10-02;NO;Sabado
2021-10-03;SI;Domingo
2021-10-04;NO;Lunes
2021-10-05;NO;Martes
2021-10-06;NO;Miercoles
2021-10-07;NO;Jueves
2021-10-08;NO;Viernes
2021-10-09;NO;Sabado
2021-10-10;SI;Domingo
2021-10-11;NO;Lunes
2021-10-12;NO;Martes
2021-10-13;NO;Miercoles
2021-10-14;NO;Jueves
2021-10-15;NO;Viernes
2021-10-16;NO;Sabado
2021-10-17;SI;Domingo
2021-10-18;NO;Lunes
2021-10-19;NO;Martes
2021-10-20;NO;Miercoles
2021-10-21;NO;Jueves
2021-10-22;NO;Viernes
2021-10-23;NO;Sabado
2021-10-24;SI;Domingo
2021-10-25;NO;Lunes
2021-10-26;NO;Martes
2021-10-27;NO;Miercoles
2021-10-28;NO;Jueves
2021-10-29;NO;Viernes
2021-10-30;NO;Sabado
2021-10-31;SI;Domingo
2021-11-01;NO;Lunes
2021-11-02;NO;Martes
2021-11-03;NO;Miercoles
2021-11-04;NO;Jueves
2021-11-05;NO;Viernes
2021-11-06;NO;Sabado
2021-11-07;SI;Domingo
2021-11-08;NO;Lunes
2021-11-09;NO;Martes
2021-11-10;NO;Miercoles
2021-11-11;NO;Jueves
2021-11-12;NO;Viernes
2021-11-13;NO;Sabado
2021-11-14;SI;Domingo
2021-11-15;NO;Lunes
